ID,Process_Title,Process_Platform,Refresh_Schedule,Process_Status,Comments,L0_Process,MSA_Owned,Compliance,FinalTable_DB,Data_Hierarchy_ID,Process_Description,Github_Link,UpdatedDate_Compliance,Modified,Modified By
346,203222 cmn competitor installed base discoverorg dex company tech,8,Monthly,FALSE,Github Link - Not Yet Added,FALSE,TRUE,Broken,11,242,Process is not active as the vendor subscription is cancelled,NA,10-06-2023,1/17/2024 11:21 PM,"G, Sreejith (Global Marketing Analytics(GMA))"
347,active installbase,3,Weekly,TRUE,Github Link - Not Yet Added,FALSE,TRUE,Good,9,260,All Active Install base units,NA,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
348,response data from athena,3,Daily,TRUE,,FALSE,TRUE,Good,9,234,Response data for DataMart,https://github.hpe.com/hpe/osrm/blob/main/code/Response_Datamart.sql,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
349,aql viz layer fact table,16,Weekly,TRUE,egig_Frank_15day.DML_IDM_COMMOM_DIM_COUNTRY_Dev_Stg_Fact_VL,FALSE,TRUE,Good,9,291,AQL vizualization layer fact table,https://github.hpe.com/schandra/insights_driven_marketing/tree/main/dml_idm_dev/AQL,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
350,revenue coverage optimization,8,Yearly,TRUE,This process is a yearly request. The report get generated using Orbit table and being used byB2B eComm team.,FALSE,TRUE,Good,9,256,RCO is process which identify the top product which cover the 95% of order value.,https://github.hpe.com/pankajk/RCO,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
351,custid to opsi mapping v2,3,Daily,TRUE,Github Link - Not Yet Added,FALSE,TRUE,Broken,9,265,CustID to OPSI mapping.,NA,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
352,hpcom usr sv country lang metrics details,8,More than once a day,FALSE,GitHub Link - Not Yet Added and Original Process Title was : hpcom_usr.sv_country_lang_metrics_details,FALSE,TRUE,Broken,8,294,Not Yet Added,NA,1/17/2024,1/22/2024 9:04 AM,"Muthyala, Vishruth (Global Marketing Analytics)"
353,drift chat final tables,8,Weekly,TRUE,Github Link - Not Yet Added,FALSE,FALSE,Good,9,252,HPE.com chat platform data from Drift formatted,NA,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
354,uc reporting email visualization,8,Weekly,TRUE,"Softbounces table(egig_Frank_15day.rELQ_soft_bounceback1)was missing from upstream table added the same to missing list.

Orginial Process title was : uc reporting - email visualization",FALSE,TRUE,Good,15,255,Final tables for PBI Email tabs,https://github.hpe.com/schandra/insights_driven_marketing/tree/main/dml_idm_dev/email,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
355,master custid to party mapping,3,Weekly,TRUE,GitHub Link - Not Yet Added,FALSE,TRUE,Good,9,266,Mapping of EDW customer ID to Party ID.,NA,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
356,gl orders data,8,Quarterly,TRUE,Orginial Process title was : gl_orders_data-2,FALSE,TRUE,Broken,9,274,Not Yet Added,https://github.hpe.com/hpe/Customer_Analytics/tree/main/GL%20Orders%20Cube,1/19/2024,2/13/2024 5:15 AM,"K Nagaraj, Kirubakaran"
357,opportunities datamart,8,Daily,TRUE,,FALSE,TRUE,Good,11,234,Opportunities datamart.,https://github.hpe.com/hpe/osrm/blob/main/code/Opportunities_MG.sql,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
358,paid media all digital master,16,More than once a week,TRUE,,FALSE,TRUE,Good,14,291,Paid media Transform the data with All Campaigns.,https://github.hpe.com/schandra/insights_driven_marketing/tree/main/dml_idm_dev/media,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
359,legacy mdm hierarchy,8,Weekly,TRUE,,TRUE,FALSE,Good,9,265,Legacy MDM hierarchy,NA,11-06-2023,11-06-2023 23:54,"B, Vinutha (Global Marketing Analytics(GMA))"
360,master id mapping,4,Daily,TRUE,"GitHub Link ""Not Yet Added""",FALSE,TRUE,Bad,9,266,Legacy MDM hierarchy.,NA,11-06-2023,11-06-2023 23:54,"B, Vinutha (Global Marketing Analytics(GMA))"
361,ras product hierarchy,8,Monthly,TRUE,,FALSE,FALSE,Good,9,280,RAS product hierarchy,https://github.hpe.com/hpe/osrm/blob/main/code/product_hierarchy.sql,,1/22/2024 11:00 AM,"Glander, Michael"
362,digital to pipe,5,Monthly,TRUE,We received HVA files from Palani as a excel format,FALSE,TRUE,Good,9,248,"To model & forecast Customer Demand Signals from Digital Actions of Customers/ Prospects; thereby, enabling Marketing to take remedial actions pre-emptively",https://github.hpe.com/ashis-mondal/Digital_To_Pipe,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
363,persona influence automation cdpc,14,Yearly,TRUE,,FALSE,TRUE,Good,9,279,influence of HPE marketing personas on digital engagement and sales opportunity creation,https://github.hpe.com/liliz/Persona-Influence,,01-05-2024 13:48,"Zhang, Lili"
364,digital campaign paid and organic media master data,16,Weekly,TRUE,,FALSE,TRUE,Good,15,291,Paidmedia and Organic Search data for Digital Campaign,https://github.hpe.com/schandra/insights_driven_marketing/tree/main/dml_idm_dev/media,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
365,paid media qliksense dashboard all campaign,7,More than once a week,TRUE,"Dashboard Name: Paid Media Dashboard (AWS) and Qliksense Link: https://qlik-sense-cp-prd.its.hpecorp.net/internal/sense/app/9e2805e1-e6bd-4af0-866c-fee47a1388b8/overview
GitHub Link : Not Yet Added",FALSE,TRUE,Good,17,291,Paid media Qliksense Dashboard all Campaign,https://github.hpe.com/schandra/insights_driven_marketing/tree/main/dml_idm_dev/media,,01-08-2024 21:01,"K Nagaraj, Kirubakaran"
366,pan hpe new logo,8,Monthly,TRUE,,FALSE,TRUE,Good,9,241,Monthly Tracking of Pan HPE New Logo Wins for CMOD,https://github.hpe.com/hpe/cmo_dashboard/tree/main/cmod_new_logos,,1/22/2024 1:22 AM,"K Nagaraj, Kirubakaran"
367,203222 cde gma data mart digital signals datamart,4,More than once a day,TRUE,Updated Github.,FALSE,TRUE,Broken,9,278,Digital Signals Datamart,https://github.hpe.com/hpe/Digital_Signals,10-06-2023,12/20/2023 9:46 PM,"Durairaj, Prabhu"
368,DnB master table,3,Monthly,TRUE,The cdr_p_bus_sum.sitehist_agg_v is an upstream to this process but was removed to handle circular dependency with dbww process.,FALSE,TRUE,Broken,9,251,D&B Aggregate table.,https://github.hpe.com/hpe/osrm/blob/main/code/dbww_agg.sql,10-06-2023,1/22/2024 8:52 AM,"Agarwal, Tarun Kumar"
369,aql viz layer opty value,16,Weekly,TRUE,,FALSE,TRUE,Good,15,291,provide opportunity value to AQL Dashboard,https://github.hpe.com/schandra/insights_driven_marketing/tree/main/dml_idm_dev/AQL,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
370,dnb intent weekly,6,Weekly,TRUE,,FALSE,TRUE,Broken,9,242,Intent data can make account-based sales and marketing campaigns more effective,https://github.hpe.com/vishruth-muthyala/DnB_Intent,10-06-2023,1/22/2024 3:16 AM,"G, Sreejith (Global Marketing Analytics(GMA))"
371,sitehist aggregate,3,Daily,TRUE,,FALSE,TRUE,Broken,9,277,EDW transactional data aggregated to customer ID.,https://github.hpe.com/hpe/osrm/blob/main/code/Sitehist_Agg.sql,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
372,knowme dvi,6,Daily,TRUE,Github Link : Not Yet Added,FALSE,TRUE,Broken,9,294,Not Yet Added,NA,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
373,name matching engine,3,Quarterly,TRUE,Web address for this application ---- http://p1wg510413.dc01.its.hpecorp.net:8501/,FALSE,TRUE,Broken,9,270,Find the close match of SDUNS based on Name and Address input,https://github.hpe.com/pankajk/Name-Matching-Engine,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
374,sduns prospect,8,Weekly,TRUE,,FALSE,TRUE,Broken,9,294,Not Yet Added,https://github.hpe.com/schandra/prospect_ptb/tree/main/prospect_v4_sduns/production_v4_5,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
375,dvi,6,Weekly,TRUE,,FALSE,TRUE,Broken,8,253,Not Yet Provided,https://github.hpe.com/schandra/digital_topic/tree/main/dvi3,10-06-2023,02-06-2024 07:51,"Chandra, Swarup"
376,cloud metrics,6,Monthly,TRUE,Github Link Added,FALSE,TRUE,Broken,9,242,"Helps the organizations to detect, monitor, and respond to various changes in costs, security, and performance of their cloud environments",https://github.hpe.com/vishruth-muthyala/domains-accountid/blob/master/STID-domains.sql,10-06-2023,2/28/2024 12:58 AM,"Muthyala, Vishruth (Global Marketing Analytics)"
377,prodhist aggregate,3,Daily,TRUE,,FALSE,TRUE,Broken,9,277,"Transaction history aggregate table, by cust ID, SKU, and fiscal qtr.",https://github.hpe.com/hpe/osrm/blob/main/code/Prodhist_Agg.sql,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
378,propensity2primera,4,Weekly,TRUE,,FALSE,TRUE,Broken,9,283,Primera PTB Model,https://github.hpe.com/nareshk/propensity2primera,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
379,workloads presence,6,Monthly,TRUE,,FALSE,TRUE,Broken,9,293,"Indicative presence of Workloads (Software, Platform etc) on an Account's Infrastructure",https://github.hpe.com/Marketing-DataScience-Modelling/WorkloadsEncyclopedia,10-06-2023,02-01-2024 07:12,"Muthyala, Vishruth (Global Marketing Analytics)"
380,derived end customer mapping,4,Daily,FALSE,GitHub Link : Not Yet Added,FALSE,TRUE,Broken,9,265,Legacy Cust ID mapping.,NA,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
381,uduns prospect,8,Weekly,TRUE,,FALSE,TRUE,Broken,9,287,This project is used to prioritize prospect accounts on their propensity to generate a qualified opportunity within a growth area.,https://github.hpe.com/schandra/prospect_ptb/tree/main/prospect_v3_uduns/production_v3_2,10-06-2023,02-01-2024 20:29,"Muthyala, Vishruth (Global Marketing Analytics)"
382,203222 cmn competitor installed base comp ib new,8,Weekly,TRUE,Github Link - Added,FALSE,TRUE,Broken,9,242,Helps to identify the competitive intelligence at sduns,https://github.hpe.com/hpe/Compib,10-06-2023,1/17/2024 11:23 PM,"G, Sreejith (Global Marketing Analytics(GMA))"
383,propensity2ns,4,Weekly,TRUE,,FALSE,TRUE,Broken,9,283,NonStop PTB Model,https://github.hpe.com/nareshk/propensity2ns,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
384,ptb recommendation prospects uduns,6,Weekly,FALSE,Github Link - Not Yet Added,FALSE,TRUE,Broken,9,287,PTB Prospects Model built over Prospects DVI model,NA,10-06-2023,02-01-2024 20:24,"Muthyala, Vishruth (Global Marketing Analytics)"
385,propensity2mapr,4,Weekly,FALSE,Github Link : Not Yet Added,FALSE,TRUE,Broken,9,283,Propensity2Mapr Revenue Predictive Model,NA,10-06-2023,3/21/2024 12:02 AM,"Agarwal, Tarun Kumar"
386,propensity2sd,4,Weekly,TRUE,,FALSE,TRUE,Broken,9,283,Superdome PTB Model,https://github.hpe.com/nareshk/propensity2sdflex,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
387,propensity23par,4,Weekly,TRUE,,FALSE,TRUE,Broken,9,283,3Par PTB Model,https://github.hpe.com/nareshk/propensity23par,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
388,propensity2apollo,4,Weekly,TRUE,Github Link : Not Yet Added,FALSE,TRUE,Broken,9,283,Product Propensity Predictive Model,https://github.hpe.com/vishruth-muthyala/propensity2apollo,10-06-2023,1/19/2024 3:07 AM,"Muthyala, Vishruth (Global Marketing Analytics)"
389,ptb models party id,8,Weekly,TRUE,,FALSE,TRUE,Broken,9,283,PTB Models - party id,https://github.hpe.com/hpe/propensity2npr/tree/production/propensity2partyidnpr,10-06-2023,03-05-2024 23:42,"Muduli, Punya Sloka"
390,ptb recommendation mdcp dataprep,4,Weekly,TRUE,,FALSE,TRUE,Broken,9,283,Propensity to Products model at MDCP Level,https://github.hpe.com/anand-kumaresh-k/prop2pipe_mdcp,10-06-2023,3/21/2024 6:50 AM,"Agarwal, Tarun Kumar"
391,aql lead propensity,8,Daily,FALSE,,FALSE,TRUE,Broken,11,233,Not Yet Added,https://github.hpe.com/liliz/Lead-Scoring-Model/tree/master/AQL_production_codes,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
392,propensity2alletra,4,Weekly,TRUE,,FALSE,TRUE,Broken,9,283,Alletra PTB Model,https://github.hpe.com/nareshk/propencity2aruba,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
393,ptb models aruba,14,Monthly,TRUE,,FALSE,TRUE,Broken,9,284,PTB Models - Aruba,https://github.hpe.com/nareshk/propencity2aruba,10-06-2023,11/28/2023 12:15 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
394,cic model,14,Monthly,TRUE,Github Link : Not Yet Added,FALSE,TRUE,Broken,9,238,CIC - Text mining,NA,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
395,os contracts,8,Yearly,TRUE,Github Link : Not Yet Added,FALSE,TRUE,Broken,9,275,Operational Services Eligible Base,NA,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
396,ptb models cslv,14,Weekly,TRUE,,FALSE,TRUE,Broken,9,285,Customer Sales lifetime value,NA,10-06-2023,11/28/2023 12:15 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
397,propensity2computevolume,4,Weekly,TRUE,,FALSE,TRUE,Broken,9,283,Compute Volume PTB Model,https://github.hpe.com/nareshk/Compute-Volume-master,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
398,knowme contact account activity,6,Daily,TRUE,Github Link : Not Yet Added,FALSE,TRUE,Broken,9,294,Not Yet Added,NA,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
399,propensity2storage,5,Weekly,TRUE,,FALSE,TRUE,Broken,9,283,P2P Storage Model,https://github.hpe.com/Marketing-DataScience-Modelling/propensity2storage,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
400,propensity2cray,4,Weekly,TRUE,,FALSE,TRUE,Broken,9,283,Cray PTB Model,https://github.hpe.com/nareshk/propensity2cray,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
401,propensity2ezmeral,4,Weekly,TRUE,,FALSE,TRUE,Broken,9,283,Process available at STID level for Ezmeral PTB,https://github.hpe.com/hpe/Propensity2Ezmeral,10-06-2023,1/19/2024 3:25 AM,"Muthyala, Vishruth (Global Marketing Analytics)"
402,propensity2greenlakegpi,4,Weekly,TRUE,,FALSE,TRUE,Broken,9,286,Part of Greenlake PTB Model,https://github.hpe.com/hpe/GreenLakePropensity4.0,10-06-2023,1/19/2024 3:12 AM,"Muthyala, Vishruth (Global Marketing Analytics)"
403,propensity2gen10,4,More than once a day,TRUE,,FALSE,TRUE,Broken,11,283,Gen 10 PTB Model,https://github.hpe.com/nareshk/propensity2gen10,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
404,propensity2synergy,3,Weekly,TRUE,GitHub Link : Not Yet Added,FALSE,TRUE,Broken,9,283,Propensity Model at stid level,NA,10-06-2023,1/19/2024 3:16 AM,"Muthyala, Vishruth (Global Marketing Analytics)"
405,propensity2hyperconverged,4,Weekly,TRUE,,FALSE,TRUE,Broken,9,283,Hyperconverged PTB Model,https://github.hpe.com/nareshk/MCS-2020,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
406,propensity2bluedata,4,Weekly,FALSE,GitHub Link : Not Yet Added,FALSE,TRUE,Broken,9,294,Not Yet Added,NA,10-06-2023,12-05-2023 00:53,"Muthyala, Vishruth (Global Marketing Analytics)"
407,propensity2new nimble model,4,Weekly,TRUE,Github Link - Not Yet Added,FALSE,TRUE,Broken,9,283,Nimble PTB Model,NA,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
408,aam base,8,Quarterly,FALSE,Github Link - Not Yet Added,FALSE,TRUE,Broken,9,229,ABM base,NA,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
409,ptb recommendation mdcp model,9,Weekly,TRUE,,FALSE,TRUE,Broken,9,283,Propensity to MDCP Product Model,https://github.hpe.com/anand-kumaresh-k/prop2pipe_mdcp,10-06-2023,3/21/2024 6:50 AM,"Agarwal, Tarun Kumar"
410,accountpropensityscores,4,Weekly,TRUE,Github Link - Not Yet Added,FALSE,TRUE,Broken,9,294,consolidation intermediate table for PTB Recommendation process,NA,10-06-2023,1/19/2024 2:59 AM,"Muthyala, Vishruth (Global Marketing Analytics)"
411,203222 cde gma data mart gc contact table,8,Daily,TRUE,Github Link - updated.,FALSE,FALSE,Broken,9,243,Golden Contact table ( i.e. Consolidated table),https://github.hpe.com/hpe/marketing_contacts/tree/main/Golden_Contact_SQL,10-06-2023,3/21/2024 6:45 AM,"Agarwal, Tarun Kumar"
412,ptb recommendation stid,3,Weekly,TRUE,,FALSE,TRUE,Broken,9,283,Propensity Model at STID Level,https://github.hpe.com/vishruth-muthyala/PTB_Recommendation,10-06-2023,2/15/2024 11:57 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
413,eloqua datamart,8,Daily,TRUE,,FALSE,TRUE,Broken,11,278,Aggregate data from Eloqua.,https://github.hpe.com/hpe/osrm/blob/main/code/Eloqua_datamart.sql,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
414,content syndication,8,Weekly,TRUE,"additional Data Sources: DML_IDM_COMMOM_DIM_Date_Dev_Stg_Fact_VL,  00_result_CC.csv,",FALSE,TRUE,Broken,9,291,Viz layer for Content Syndication Dashboard,https://github.hpe.com/schandra/insights_driven_marketing/tree/main/dml_idm_dev/Content_Syndication,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
415,gpi,8,Weekly,TRUE,"Github Link - Not Yet Added
cdr_p_bus_sum.aam_g7_gl;  cdr_p_bus_sum.ak_workload_console_stid;  CDR_P_BUS_SUM.HPE_6Sense_MID_TO_STID;  CDR_P_BUS_SUM.HPE_6Sense_MID;  cdr_p_bus_sum.VM_uduns_scores_and_rec_superset_2021_historical;",FALSE,TRUE,Broken,9,286,Greenlake Propensity Index Predictive Model,https://github.hpe.com/hpe/GreenLakePropensity4.0,10-06-2023,1/19/2024 3:01 AM,"Muthyala, Vishruth (Global Marketing Analytics)"
416,explainable ai,9,Weekly,TRUE,egig_App_IBSV.PANHPE_CLEAN_CUSTOMER_v,FALSE,TRUE,Broken,9,257,Business logic enables explanation of PTB recommendation,https://github.hpe.com/hpe/xAI,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
417,AnPS TPI and PPI models,3,Bi-Weekly,TRUE,Orders data is coming from Pointnext cube. (This process also has cdr_p_bus_sum.vm_stid_scores_and_rec_superset_2021 as an upstream table but had to be removed due to circular dependency.),FALSE,TRUE,Broken,9,282,This process involves predicting the Transformation account and A&PS practice levels at the STID level.,https://github.hpe.com/pankajk/TPI,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
419,stid npr,8,Weekly,FALSE,,FALSE,TRUE,Broken,9,294,Not Yet Added,https://github.hpe.com/schandra/npr_prod/tree/master/npr_prod_v5/production_v5_1,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
420,ptb models hpe greenlake,16,Quarterly,TRUE,Github Link - Not Yet Added,FALSE,TRUE,Broken,9,286,HPE GREENLAKE PROPENSITY MODEL FRAMEWORK,NA,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
421,ptb recommendation mdcp,3,Weekly,TRUE,,FALSE,TRUE,Broken,9,283,Propensity to MDCP Product Model,https://github.hpe.com/vishruth-muthyala/PTB_Recommendation,10-06-2023,3/21/2024 6:49 AM,"Agarwal, Tarun Kumar"
422,content syndication uc dashboard,15,Weekly,TRUE,Github Link - Not Yet Added,FALSE,TRUE,Broken,16,291,UC Dashboard Content Syndication,NA,10-06-2023,03-07-2024 07:13,"Lara, Victor"
423,abm ucbase,8,Quarterly,TRUE,Github Link - Not Yet Added,FALSE,TRUE,Broken,11,229,ABM UC base for campaign targeting,NA,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
424,ptb recommendation oneparty view,8,Weekly,FALSE,Github Link - Not Yet Added,FALSE,TRUE,Broken,9,294,Not Yet Added,NA,10-06-2023,1/19/2024 2:38 AM,"Muthyala, Vishruth (Global Marketing Analytics)"
425,uc reporting common dimension,8,Weekly,TRUE,,FALSE,TRUE,Broken,9,291,Web tables for UC Campaigns,NA,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
426,uc reporting email,8,Weekly,TRUE,Github Link - Not Yet Added,FALSE,TRUE,Broken,15,291,Email data for uc reporting,NA,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
427,uc reporting web pivot,8,Weekly,TRUE,Github Link - Not Yet Added,FALSE,TRUE,Broken,8,291,Web tables for UC reporting,NA,10-06-2023,12/13/2023 7:35 AM,"Chandra, Swarup"
428,uc reporting web visualization,8,Weekly,TRUE,Github Link - Not Yet Added,FALSE,TRUE,Broken,15,291,Final tables for PBI web views,NA,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
429,aql marketing flags viz layer,16,More than once a day,TRUE,idm.src_dml_idm_dc_account_mediacoverage_placementid,FALSE,TRUE,Broken,11,291,Create Marketing flags for AQL Dashboard,https://github.hpe.com/schandra/insights_driven_marketing/tree/main/dml_idm_dev/AQL,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
430,Drift,8,Daily,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for Drift data,NA,,1/21/2024 11:11 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
431,Aberdeen,8,Monthly,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for Aberdeen data,NA,,1/21/2024 11:11 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
432,Aprimo,8,More than once a day,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for Aprimo data,NA,,1/19/2024 2:00 AM,"Ali, Mohd Yusuf"
433,Aruba 6Sense,8,Daily,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for Aruba 6Sense data,NA,,1/21/2024 11:11 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
434,Content Insight Metrics Monthly,8,Monthly,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for Content Insight Metrics data,NA,,10/24/2023 10:44 PM,"B, Vinutha (Global Marketing Analytics(GMA))"
435,Content Insight Metrics Half Yearly,8,Half-Yearly,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for Content Insight Metrics data,NA,,10/24/2023 10:45 PM,"B, Vinutha (Global Marketing Analytics(GMA))"
436,DAM Marketing Assets,8,Yearly,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for DAM Marketing Assets data,NA,,1/21/2024 11:11 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
437,Discoverorg Monthly,8,Monthly,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for Discoverorg data,NA,,10/24/2023 10:42 PM,"B, Vinutha (Global Marketing Analytics(GMA))"
438,Discoverorg Yearly,8,Yearly,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for Discoverorg data,NA,,10/24/2023 10:43 PM,"B, Vinutha (Global Marketing Analytics(GMA))"
439,DMaster,8,Yearly,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for DMaster data,NA,,1/21/2024 11:11 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
440,DoubleClick,8,Daily,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for DoubleClick data,NA,,1/21/2024 11:12 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
441,EAP SLS Pipeline Weekly,8,Weekly,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for EAP SLS Pipeline data,NA,,1/21/2024 11:11 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
442,EAP SLS Pipeline Monthly,8,Monthly,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for EAP SLS Pipeline data,NA,,1/21/2024 11:11 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
443,eCalendar,8,Yearly,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for eCalendar data,NA,,1/21/2024 11:11 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
444,ELOQUA Aruba,8,Daily,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for ELOQUA Aruba data,NA,,1/21/2024 11:11 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
445,ELOQUA HPE,8,More than once a day,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for ELOQUA HPE data,NA,,1/21/2024 11:11 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
446,GRM,8,Daily,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for GRM data,NA,,1/21/2024 11:12 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
447,HG Insights,8,monthly,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for HG Insights data,NA,,1/21/2024 11:12 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
448,HG,8,Monthly,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for HG data,NA,,1/21/2024 11:12 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
449,HPE 6Sense,8,Daily,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for HPE 6Sense data,NA,,1/21/2024 11:12 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
450,HPE GreenLake Test Drive Attendee Data,8,Yearly,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for HPE GreenLake Test Drive Attendee Data data,NA,,1/21/2024 11:12 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
451,HPE Media Weekly,8,More than once a week,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for HPE Media data,NA,,1/21/2024 11:12 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
452,HPE Media Yearly,8,Yearly,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for HPE Media data,NA,,1/21/2024 11:12 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
453,JUMP ID,8,Daily,TRUE,,TRUE,FALSE,Good,9,298,L0 Process covering Frank tables for JUMP ID data,NA,,1/21/2024 11:12 PM,"Muthyala, Vishruth (Global Marketing Analytics)"
